x,y
590.5110473632812,450.09515380859375
588.3285522460938,450.1397705078125
584.2791137695312,450.0290832519531
580.9009399414062,449.6777038574219
577.7503662109375,449.29473876953125
578.8934936523438,448.82196044921875
578.6968383789062,448.8125305175781
574.6973876953125,449.47454833984375
574.56103515625,449.87750244140625
572.4971923828125,448.0291442871094
570.651123046875,447.3696594238281
569.9822998046875,446.8820495605469
567.2583618164062,447.77789306640625
565.0697021484375,450.0269470214844
563.2036743164062,451.2684326171875
561.779296875,453.046142578125
561.0379028320312,453.289794921875
560.2479248046875,452.5909423828125
560.263916015625,451.85137939453125
561.3653564453125,451.94866943359375
562.2911376953125,450.88800048828125
562.7933349609375,451.1294250488281
561.9495239257812,451.40533447265625
561.40234375,451.7945556640625
560.9077758789062,451.9394226074219
560.1554565429688,452.0987548828125
558.5115966796875,452.6220397949219
558.8291625976562,452.60980224609375
558.1232299804688,452.12384033203125
559.7313842773438,452.73193359375
561.9389038085938,452.7316589355469
562.91943359375,453.9739074707031
563.578857421875,454.8951110839844
565.8125610351562,455.2528076171875
565.8225708007812,455.054931640625
566.9339599609375,454.76434326171875
565.193115234375,453.2442321777344
567.8101196289062,453.02099609375
569.8133544921875,452.594482421875
566.5150756835938,452.3374938964844
565.8287353515625,452.439697265625
562.4603271484375,452.466796875
562.939208984375,452.1145324707031
566.9092407226562,451.89013671875
571.5418701171875,450.84649658203125
569.2235717773438,450.33367919921875
567.489501953125,450.21075439453125
572.354248046875,449.3904113769531
568.6971435546875,449.2275390625
570.1134033203125,448.31402587890625
561.52587890625,449.7862548828125
554.8179931640625,449.0027770996094
551.8677978515625,448.92462158203125
550.7099609375,449.1307373046875
549.7828369140625,449.1995544433594
548.8375854492188,448.7815856933594
548.327392578125,448.395751953125
548.1503295898438,448.29779052734375
548.2205810546875,448.13897705078125
548.2188720703125,447.796630859375
547.7556762695312,448.40087890625
547.9015502929688,448.8680419921875
547.9313354492188,448.968994140625
548.4227294921875,449.07861328125
548.48876953125,448.8177795410156
548.857421875,448.7999572753906
549.0460815429688,448.9411926269531
549.89697265625,448.66839599609375
551.2735595703125,448.95721435546875
552.3521728515625,449.4390869140625
556.9697265625,450.4984130859375
559.9752807617188,450.2854919433594
560.8153076171875,450.4332275390625
560.3533325195312,450.7207336425781
559.9645385742188,450.5199890136719
559.6820068359375,450.2905578613281
560.8130493164062,449.8902587890625
561.2711791992188,450.4045715332031
563.8033447265625,450.88934326171875
564.8314208984375,451.19805908203125
566.3820190429688,451.1214599609375
566.6422119140625,451.0486145019531
567.9403076171875,451.3685607910156
569.7354736328125,451.6328125
570.2549438476562,451.8115539550781
572.0398559570312,451.7583923339844
575.0623168945312,451.8254699707031
575.7439575195312,451.563232421875
576.5336303710938,451.460205078125
575.5802001953125,452.06622314453125
576.4727783203125,451.7356262207031
576.649658203125,451.63287353515625
578.337646484375,452.6917724609375
577.4853515625,452.0650939941406
579.47509765625,452.2766418457031
576.9180297851562,450.944580078125
577.1280517578125,450.6705322265625
576.097412109375,448.7928466796875
578.25244140625,451.300537109375
578.5211791992188,453.0575866699219
578.9472045898438,455.77044677734375
579.0333862304688,456.63800048828125
578.9945678710938,456.7378234863281
580.417236328125,456.4091796875
583.0722045898438,456.8436584472656
583.8890380859375,456.57196044921875
585.971435546875,457.6702575683594
586.8154296875,458.227783203125
588.3982543945312,459.800048828125
589.813720703125,460.4585266113281
590.1638793945312,461.42120361328125
586.0262451171875,463.4577941894531
588.1238403320312,463.4375305175781
587.5546264648438,463.27899169921875
589.8814086914062,464.02099609375
588.3211669921875,462.7421875
590.089599609375,464.771484375
591.2138671875,464.9365234375
594.8263549804688,465.22216796875
597.7658081054688,465.24908447265625
