x,y
tensor(620.62292),tensor(452.34268)
tensor(623.01898),tensor(450.90961)
tensor(630.93927),tensor(450.87146)
tensor(636.25812),tensor(452.51315)
tensor(638.14832),tensor(451.96509)
tensor(637.87323),tensor(451.65228)
tensor(641.64154),tensor(451.63092)
tensor(644.20453),tensor(451.91156)
tensor(642.68164),tensor(452.55167)
tensor(645.89221),tensor(453.63953)
tensor(652.46362),tensor(455.09424)
tensor(653.48456),tensor(455.39166)
tensor(656.93262),tensor(455.83356)
tensor(658.95544),tensor(455.29852)
tensor(660.36334),tensor(454.13013)
tensor(661.81879),tensor(455.08618)
tensor(665.28003),tensor(456.11536)
tensor(667.95325),tensor(457.14056)
tensor(673.18878),tensor(454.95844)
tensor(672.80225),tensor(458.46167)
tensor(672.49854),tensor(458.56116)
tensor(672.56042),tensor(459.44864)
tensor(671.83215),tensor(461.79553)
tensor(668.53656),tensor(462.23874)
tensor(669.86420),tensor(464.41797)
tensor(673.77429),tensor(465.47437)
tensor(674.27954),tensor(466.61166)
tensor(674.04218),tensor(468.16101)
tensor(677.46832),tensor(468.63547)
tensor(683.63214),tensor(469.06635)
tensor(695.21472),tensor(468.62085)
tensor(699.70630),tensor(470.88477)
tensor(703.39832),tensor(471.15756)
tensor(709.09235),tensor(470.84476)
tensor(716.22272),tensor(473.37579)
tensor(720.51447),tensor(473.40808)
tensor(723.37866),tensor(475.20233)
tensor(728.60687),tensor(477.88403)
tensor(734.20105),tensor(479.87350)
tensor(740.92108),tensor(479.55066)
tensor(747.32727),tensor(480.33258)
tensor(756.94110),tensor(479.50171)
tensor(765.29016),tensor(480.74365)
tensor(772.82501),tensor(481.59009)
tensor(781.83746),tensor(481.93713)
tensor(789.68298),tensor(482.98175)
tensor(798.80377),tensor(483.43716)
tensor(808.86035),tensor(483.81027)
tensor(820.69275),tensor(483.77283)
tensor(833.28387),tensor(484.69684)
tensor(843.52802),tensor(484.98538)
tensor(856.92712),tensor(485.56113)
tensor(865.66113),tensor(486.17004)
